gndr,yrbrn,cntry,feethngr,rlgatnd,mbtru,hinctnta,edulvlb,cntbrthd,gincdif,fairelc,dfprtal,gptpelc,medcrgv,rghmgpr,cttresa,gvctzpv,grdfinc,viepol,wpestop,votedir,lnghom1,brncntr,mbrncntc,fbrncntc,freehms,hmsacld,lrnobed,loylead,imdfetn,accalaw,dweight...32,rlgdnm,imueclt,region,lrscale,dweight...37,dweight
1,1983,SI,1,5,3,8,610,6666,3,10,8,8,5,8,8,6,5,7,5,5,SLV,1,BA,BA,3,4,3,3,2,0,1,NA,5,SI032,5,1,1
2,2000,SI,1,5,3,7,323,6666,3,9,9,9,8,8,9,7,7,6,9,8,SLV,1,6666,6666,2,2,2,2,2,6,1,1,6,SI041,5,1,1
1,1973,SI,1,6,3,5,323,6666,3,8,3,NA,10,10,8,7,7,8,NA,NA,SLV,1,6666,6666,2,3,2,NA,3,7,1,1,NA,SI041,NA,1,1
2,2001,SI,2,6,3,NA,323,6666,2,8,6,8,7,9,10,10,9,7,7,8,SLV,1,6666,6666,1,1,3,4,1,0,1,1,7,SI041,NA,1,1
1,1996,SI,2,7,3,NA,321,6666,3,10,9,10,9,9,10,10,10,10,10,10,SLV,1,6666,6666,2,5,2,4,2,2,1,NA,2,SI041,9,1,1
1,1946,SI,1,5,2,5,323,HR,2,10,10,10,5,8,10,10,9,7,8,10,SLV,2,HR,HR,2,4,2,2,2,0,1,1,5,SI041,8,1,1
1,1980,SI,1,5,3,8,610,6666,2,10,10,10,10,10,10,10,10,8,9,8,SLV,1,6666,6666,3,4,2,2,3,0,1,1,3,SI034,8,1,1
1,1987,SI,1,5,3,9,321,6666,1,10,10,10,10,5,10,10,10,10,8,10,SLV,1,6666,6666,2,2,2,3,1,0,1,1,8,SI031,5,1,1
1,2004,SI,1,5,3,5,213,6666,2,10,8,8,10,8,10,8,8,8,9,10,SLV,1,6666,6666,3,4,2,3,3,4,1,1,3,SI035,5,1,1
2,1981,SI,1,7,3,NA,620,6666,3,10,8,8,8,8,10,5,5,5,5,8,SLV,1,6666,6666,1,1,1,3,2,5,1,NA,7,SI041,2,1,1
1,1945,SI,1,7,2,1,321,6666,1,10,10,10,10,10,10,10,10,10,5,10,SLV,1,9999,6666,1,2,1,2,3,8,1,NA,4,SI035,NA,1,1
1,1992,SI,1,6,2,3,610,6666,3,5,7,10,6,6,10,10,8,8,8,8,SLV,1,6666,6666,3,5,2,4,4,5,1,NA,5,SI032,5,1,1
2,1952,SI,1,5,2,NA,720,6666,4,10,10,8,10,10,10,8,5,NA,NA,5,SLV,1,6666,6666,1,2,2,4,3,NA,1,1,6,SI041,10,1,1
1,1991,SI,1,7,3,6,321,6666,2,10,8,10,10,10,10,10,10,10,10,10,SLV,1,BA,6666,2,4,5,4,2,1,1,NA,6,SI034,4,1,1
2,1999,SI,1,7,3,NA,323,6666,2,10,10,9,10,10,10,9,10,10,9,8,999,1,6666,6666,2,3,3,3,2,0,1,NA,5,SI042,4,1,1
2,2005,SI,1,3,3,3,213,6666,2,10,8,7,5,8,10,10,10,7,9,8,SLV,1,6666,6666,2,1,2,2,2,2,1,1,3,SI042,5,1,1
1,1975,SI,1,7,1,9,313,6666,1,10,7,10,10,10,10,10,10,10,10,10,SLV,1,6666,6666,1,2,4,5,1,0,1,NA,9,SI041,1,1,1
2,1965,SI,1,5,3,9,520,6666,4,NA,7,8,9,9,10,9,7,6,9,7,SLV,1,6666,6666,4,4,4,3,2,0,1,1,5,SI041,5,1,1
2,2002,SI,1,7,3,4,313,6666,2,10,6,10,6,8,10,10,10,7,7,8,SLV,1,6666,6666,1,2,2,3,2,0,1,NA,4,SI043,5,1,1
1,1965,SI,1,5,2,2,213,6666,2,8,8,9,9,8,9,9,9,9,9,8,SLV,1,6666,6666,4,5,2,3,3,3,1,NA,2,SI037,7,1,1
2,2001,SI,1,5,3,9,323,6666,1,10,10,NA,10,10,10,10,10,10,10,10,SLV,1,6666,6666,1,1,4,4,1,2,1,1,8,SI043,2,1,1
1,1942,SI,1,3,2,4,213,6666,2,10,9,10,8,9,10,10,10,8,5,8,SLV,1,6666,6666,2,4,2,3,4,5,1,1,NA,SI043,5,1,1
2,1995,SI,1,5,3,4,321,6666,2,8,6,8,5,5,5,8,8,7,8,5,SLV,1,6666,6666,4,4,1,2,2,6,1,1,1,SI032,5,1,1
1,1970,SI,1,4,3,9,323,6666,2,10,10,10,10,10,10,6,9,5,6,10,SLV,1,6666,6666,2,4,2,2,2,0,1,1,5,SI034,7,1,1
2,1953,SI,1,7,2,5,610,6666,2,10,10,10,10,10,10,10,10,10,10,10,SLV,1,6666,6666,2,2,4,4,2,0,1,NA,5,SI033,0,1,1
1,1940,SI,1,6,2,5,520,6666,2,10,10,10,10,10,10,10,10,10,10,10,SLV,1,6666,6666,2,2,2,2,3,0,1,NA,8,SI032,0,1,1
1,1994,SI,1,7,3,3,323,6666,1,10,8,10,9,10,10,7,10,10,10,10,SLV,1,6666,6666,2,4,2,2,3,9,1,NA,3,SI034,5,1,1
2,1954,SI,1,3,3,NA,213,6666,1,10,10,10,10,10,10,10,10,10,10,10,SLV,1,6666,6666,3,4,1,1,3,8,1,1,8,SI034,10,1,1
2,1985,SI,1,5,3,9,620,6666,2,8,7,8,5,8,8,10,10,9,8,9,SLV,1,6666,6666,2,3,2,4,3,1,1,NA,8,SI041,5,1,1
2,1964,SI,1,5,1,3,213,6666,1,10,7,8,5,7,10,9,9,5,5,8,SLV,1,6666,6666,1,4,2,5,2,5,1,1,5,SI037,5,1,1
2,1943,SI,1,7,2,3,520,6666,1,10,10,10,10,10,10,10,10,10,10,10,SLV,1,6666,6666,1,2,1,2,2,2,1,NA,7,SI031,1,1,1
1,1988,SI,1,4,3,9,610,6666,2,10,4,9,5,9,10,10,8,10,9,10,SLV,1,6666,6666,2,5,2,3,2,0,1,1,5,SI041,6,1,1
2,1939,SI,1,6,1,2,321,6666,2,9,NA,NA,7,9,10,8,9,NA,NA,9,SLV,1,6666,6666,2,1,1,3,2,5,1,1,8,SI044,NA,1,1
2,1969,SI,1,6,2,4,520,6666,2,9,9,10,9,9,10,10,10,10,10,10,SLV,1,6666,6666,2,3,2,2,3,0,1,1,6,SI042,8,1,1
2,1986,SI,2,6,3,6,323,6666,4,10,8,10,9,10,10,10,10,8,8,10,SLV,1,6666,6666,2,3,1,2,3,6,1,1,6,SI041,6,1,1
2,1971,SI,1,5,1,6,321,BA,1,9,9,9,10,10,10,9,9,9,9,10,SLV,2,BA,BA,2,2,4,4,2,0,1,3,4,SI038,3,1,1
2,1962,SI,1,6,3,NA,213,6666,2,10,7,8,NA,5,10,10,10,10,10,10,SLV,1,6666,6666,2,4,2,2,3,8,1,1,5,SI033,5,1,1
2,1958,SI,1,6,3,1,323,HR,2,10,10,10,10,10,10,10,10,10,10,10,SLV,2,HR,HR,4,5,2,3,3,1,1,1,0,SI044,5,1,1
2,1959,SI,2,4,2,NA,620,6666,2,10,8,10,8,8,10,5,9,9,9,10,SLV,1,6666,6666,3,5,3,3,4,0,1,1,6,SI041,9,1,1
2,1941,SI,1,7,3,1,213,6666,NA,6,3,9,10,10,10,10,10,10,10,10,SLV,1,6666,6666,2,4,1,2,2,2,1,NA,2,SI032,3,1,1
1,2003,SI,1,6,3,NA,213,6666,2,3,3,NA,5,5,5,6,NA,5,5,4,SLV,1,6666,6666,2,2,2,3,2,4,1,1,5,SI037,5,1,1
1,1978,SI,2,5,3,7,321,6666,1,10,10,10,5,5,10,10,10,5,5,5,SLV,1,6666,6666,1,1,2,2,4,10,1,1,0,SI033,NA,1,1
1,1951,SI,1,7,3,NA,620,6666,1,10,10,10,10,8,10,10,8,10,9,10,SLV,1,6666,6666,2,4,3,4,2,0,1,NA,2,SI041,3,1,1
1,1958,SI,1,4,3,1,321,6666,2,7,8,10,8,8,10,10,10,5,10,8,SLV,1,6666,6666,5,5,1,4,3,3,1,1,3,SI034,NA,1,1
1,1973,SI,2,5,3,2,321,MK,1,10,10,10,10,10,10,10,10,10,10,10,MAC,2,MK,MK,5,4,1,4,1,0,1,3,10,SI041,5,1,1
2,1958,SI,1,7,1,5,323,6666,1,10,10,10,10,10,10,10,10,10,10,10,SLV,1,6666,6666,2,3,1,1,2,9,1,NA,7,SI035,1,1,1
1,1965,SI,1,5,3,8,323,6666,2,8,8,10,8,8,9,10,10,9,9,9,SLV,1,6666,6666,3,4,1,4,2,6,1,NA,5,SI037,5,1,1
2,1938,SI,1,5,2,3,323,6666,1,10,NA,10,10,10,10,10,10,NA,8,10,SLV,1,6666,6666,2,4,2,2,NA,10,1,1,NA,SI041,8,1,1
1,1958,SI,1,7,3,8,620,6666,4,10,10,10,10,10,10,8,8,10,10,10,SLV,1,6666,6666,2,3,5,5,2,1,1,NA,6,SI032,5,1,1
1,1959,SI,1,7,3,5,323,BA,2,10,8,10,10,10,10,10,10,10,10,10,SLV,2,BA,BA,2,4,1,3,1,0,1,6,5,SI041,0,1,1
1,1995,SI,1,5,1,8,323,6666,1,10,9,10,10,10,10,10,10,10,10,10,SLV,1,6666,6666,2,2,2,2,2,0,1,1,9,SI038,5,1,1
1,1987,SI,1,5,3,8,313,6666,2,10,8,10,10,10,10,7,7,10,10,6,SLV,1,6666,21,1,1,4,4,2,2,1,1,7,SI037,3,1,1
1,1951,SI,1,7,2,5,620,6666,2,10,10,10,9,10,10,10,10,7,9,10,SLV,1,6666,6666,2,3,3,3,2,3,1,NA,6,SI041,5,1,1
1,1997,SI,1,6,3,7,323,6666,1,10,8,10,10,10,9,10,10,10,9,10,SLV,1,6666,6666,1,1,3,3,3,10,1,1,5,SI041,4,1,1
1,1969,SI,1,3,3,9,323,BA,2,10,10,10,10,10,10,10,10,5,3,10,BOS,2,BA,BA,5,5,1,3,2,7,1,6,2,SI032,0,1,1
2,1959,SI,1,7,2,4,323,6666,1,6,7,10,10,10,10,10,10,10,10,10,SLV,1,6666,6666,2,4,1,2,2,10,1,NA,4,SI041,10,1,1
2,1997,SI,1,3,3,3,620,6666,1,10,10,10,5,8,10,9,10,8,5,10,SLV,1,6666,6666,2,3,2,3,NA,0,1,1,5,SI043,6,1,1
2,1978,SI,1,6,3,6,321,6666,2,8,6,8,5,7,7,9,9,8,7,9,SLV,1,6666,6666,2,4,2,2,2,7,1,NA,4,SI034,10,1,1
2,1999,SI,1,5,3,9,313,9999,2,10,9,9,9,NA,10,9,9,9,8,10,SLV,NA,6666,9999,1,2,3,2,3,4,1,1,2,SI042,5,1,1
2,1952,SI,1,4,2,1,321,6666,2,10,8,9,7,6,10,10,8,NA,4,9,SLV,1,6666,6666,2,2,1,2,3,7,1,1,7,SI041,5,1,1
1,1948,SI,1,5,2,3,321,6666,3,9,6,6,5,7,10,6,4,7,8,9,SLV,1,6666,6666,2,5,2,2,3,3,1,1,3,SI041,9,1,1
1,1957,SI,1,5,2,6,313,6666,2,10,10,10,10,10,10,10,10,0,10,10,SLV,1,6666,6666,2,2,4,2,2,0,1,NA,7,SI034,NA,1,1
2,1988,SI,1,4,3,10,610,6666,3,10,8,8,8,7,10,8,7,9,7,7,SLV,1,6666,6666,1,2,2,3,3,2,1,1,3,SI034,7,1,1
1,1987,SI,1,7,3,5,321,RS,2,8,8,6,7,8,9,6,8,3,5,6,SLV,2,XK,RS,2,3,2,4,2,0,1,NA,7,SI034,NA,1,1
2,1980,SI,1,5,2,5,313,6666,2,10,10,10,10,10,10,10,10,10,10,10,SLV,1,6666,6666,2,3,2,2,4,10,1,NA,0,SI034,NA,1,1
1,1982,SI,1,6,3,9,620,6666,2,9,8,8,9,8,10,7,7,8,8,8,SLV,1,6666,6666,1,2,3,5,2,3,1,1,7,SI034,4,1,1
2,1969,SI,1,3,3,NA,610,6666,2,10,10,10,10,6,10,10,10,10,10,10,SLV,1,6666,6666,1,2,3,1,3,10,1,1,5,SI042,5,1,1
1,1972,SI,1,7,3,10,321,6666,1,10,10,10,10,10,10,5,10,5,10,5,SLV,1,6666,6666,3,5,1,5,3,0,1,1,0,SI032,NA,1,1
2,1966,SI,1,7,3,4,213,RS,2,8,8,10,8,8,10,10,10,5,5,9,SLV,2,RS,RS,4,4,2,2,3,0,1,NA,NA,SI034,NA,1,1
2,1954,SI,1,5,2,5,213,6666,2,10,7,7,8,6,8,9,10,8,7,7,SLV,1,6666,6666,2,4,1,2,2,9,1,1,8,SI032,8,1,1
2,1983,SI,1,5,3,8,720,6666,2,8,8,6,8,8,10,9,8,8,8,9,SLV,1,6666,6666,2,4,2,4,2,7,1,1,6,SI037,7,1,1
2,1979,SI,1,6,3,6,720,6666,2,10,10,10,10,10,10,10,10,10,10,10,SLV,1,6666,6666,2,4,2,3,1,0,1,NA,8,SI041,5,1,1
2,1976,SI,2,5,1,4,620,6666,4,10,10,10,10,10,10,10,10,10,10,10,SLV,1,6666,6666,1,1,4,3,2,0,1,1,1,SI033,5,1,1
1,1953,SI,1,5,3,1,213,6666,1,6,5,4,5,1,10,8,8,10,10,9,SLV,1,6666,6666,5,4,2,2,3,4,1,NA,0,SI041,7,1,1
2,1981,SI,1,6,3,NA,323,6666,2,10,10,10,10,10,10,10,10,10,10,10,SLV,1,6666,6666,2,2,4,3,3,0,1,1,0,SI033,NA,1,1
2,1942,SI,1,5,2,2,323,6666,2,10,10,10,10,10,10,10,10,7,10,8,SLV,1,6666,6666,1,1,2,2,1,10,1,1,8,SI032,NA,1,1
2,1988,SI,1,5,3,8,610,6666,3,10,10,10,10,9,10,10,8,7,10,10,SLV,1,6666,6666,2,4,1,2,3,10,1,1,4,SI037,5,1,1
1,1968,SI,1,6,2,4,323,6666,3,10,8,10,9,7,10,8,5,7,6,8,SLV,1,6666,6666,2,2,2,3,4,2,1,1,4,SI035,4,1,1
2,1979,SI,1,7,3,8,323,6666,1,10,10,10,10,10,10,10,10,10,10,10,SLV,1,6666,6666,1,5,2,5,1,9,1,NA,9,SI041,1,1,1
1,1962,SI,1,4,2,6,323,6666,1,10,10,10,10,8,10,7,10,10,5,10,SLV,1,6666,6666,5,4,2,2,2,7,1,1,0,SI037,10,1,1
1,1956,SI,1,5,2,8,620,6666,3,10,10,10,10,10,10,10,10,10,10,10,SLV,1,6666,6666,1,1,1,2,3,5,1,NA,5,SI034,4,1,1
2,1958,SI,1,7,2,7,323,6666,2,10,8,10,8,10,10,10,8,10,10,8,SLV,1,6666,6666,2,2,2,4,2,0,1,NA,7,SI032,2,1,1
1,1942,SI,1,7,2,6,323,6666,4,6,6,8,10,6,10,10,8,8,8,10,SLV,1,6666,6666,1,5,2,3,4,0,1,NA,3,SI034,0,1,1
2,1953,SI,1,5,2,2,323,6666,1,10,10,9,9,9,10,8,10,9,9,8,SLV,1,6666,6666,2,4,2,1,4,0,1,1,3,SI036,7,1,1
2,2001,SI,1,4,3,2,323,6666,1,10,10,10,8,10,10,10,10,9,8,10,SLV,1,6666,6666,1,1,4,2,2,0,1,1,3,SI036,1,1,1
2,1950,SI,1,6,2,2,323,6666,1,10,8,10,8,8,10,9,10,6,10,10,SLV,1,6666,6666,2,4,2,2,3,3,1,1,6,SI036,5,1,1
2,2004,SI,1,4,3,NA,213,6666,2,7,6,9,5,8,10,10,10,7,5,8,SLV,1,6666,6666,2,4,1,2,2,5,1,1,5,SI032,5,1,1
1,1987,SI,2,6,3,8,520,6666,2,10,8,8,10,8,10,7,8,10,8,9,SLV,1,6666,6666,3,4,4,5,3,6,1,1,4,SI041,4,1,1
2,1991,SI,1,5,3,6,610,6666,2,10,10,5,10,10,10,10,10,10,10,10,SLV,1,6666,HR,2,3,2,4,3,2,1,NA,2,SI037,6,1,1
1,1990,SI,1,7,3,4,323,6666,1,8,8,8,6,8,8,8,8,8,7,8,SLV,1,6666,6666,2,3,3,3,2,0,1,1,3,SI034,5,1,1
