"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","polintr","trstplt","trstprt","vote","prtvtefr","clsprty","gndr","yrbrn","eduyrs","emplrel","uemp12m","uemp5yr"
"ESS10e02_2",10,"2.2","21.12.2022",10795,"BG",0.62699366,0.40641025,0.21771649,0.08848221,0.00097048905,162,2203,1,0,0,1,,1,1,1950,19,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10799,"BG",0.3216189,0.24790227,0.21771649,0.053972412,0.0018919611,195,2453,4,0,0,1,,1,1,1949,8,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10802,"BG",0.4530592,0.67086077,0.21771649,0.14605744,0.0013430706,141,2104,2,1,0,1,,1,1,1952,16,1,2,2
"ESS10e02_2",10,"2.2","21.12.2022",10816,"BG",0.47253698,0.1697583,0.21771649,0.036959182,0.0012877097,175,2307,2,2,1,1,,2,2,1979,20,1,2,1
"ESS10e02_2",10,"2.2","21.12.2022",10819,"BG",0.2381082,0.36200458,0.21771649,0.078814365,0.002555521,157,2169,3,5,4,2,,2,2,1949,11,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10828,"BG",0.3203829,0.70960534,0.21771649,0.15449278,0.0018992601,189,2402,2,0,0,1,,1,2,1963,11,3,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10831,"BG",0.48484588,0.40472212,0.21771649,0.08811468,0.0012550183,185,2442,4,0,0,2,,2,1,1967,11,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10838,"BG",2.9090753,1.9360597,0.21771649,0.4215121,0.00020916971,185,2433,4,0,0,2,,2,2,1964,11,1,6,6
"ESS10e02_2",10,"2.2","21.12.2022",10848,"BG",1.8901479,3.7105298,0.21771649,0.8078435,0.00032192742,175,2245,2,2,2,1,,1,1,1991,11,1,2,1
"ESS10e02_2",10,"2.2","21.12.2022",10853,"BG",0.44044387,1.5820853,0.21771649,0.34444603,0.0013815392,147,2097,4,5,3,1,,2,2,1954,8,1,1,2
"ESS10e02_2",10,"2.2","21.12.2022",10865,"BG",1.8901479,0.8652433,0.21771649,0.18837774,0.00032192742,175,2290,3,7,7,1,,1,2,1961,12,1,6,6
